order_id,order_date,customer_id,product_name,category,quantity,unit_price,discount_pct,total_amount,region,channel,order_status
ORD-002088,2024-01-01,CUST-00230,Scented Candle,Home & Kitchen,1,11.25,0,11.25,Midwest,Website,Completed
ORD-002900,2024-01-01,CUST-01619,Wireless Earbuds,Electronics,1,50.09,0,50.09,Midwest,Mobile App,Completed
ORD-000878,2024-01-01,CUST-01471,Denim Jeans,Clothing,3,44.73,15,114.06,East,Mobile App,Completed
ORD-002460,2024-01-01,CUST-00135,Throw Blanket,Home & Kitchen,2,51.84,0,103.68,West,Social Media,Completed
ORD-001789,2024-01-01,CUST-00779,Coffee Mug Set,Home & Kitchen,1,17.1,0,17.1,South,Social Media,Refunded
ORD-001120,2024-01-01,CUST-00535,Coffee Mug Set,Home & Kitchen,1,19.44,0,19.44,Midwest,Website,Completed
ORD-001545,2024-01-01,CUST-01061,Kitchen Scale,Home & Kitchen,2,30.97,0,61.94,Midwest,Website,Cancelled
ORD-003378,2024-01-02,CUST-00248,Plant Pot,Home & Kitchen,2,19.04,0,38.08,West,Mobile App,Completed
ORD-001564,2024-01-02,CUST-00934,Lip Balm Set,Beauty,1,14.85,0,14.85,West,Website,Completed
ORD-002030,2024-01-02,CUST-02028,Portable Charger,Electronics,1,33.65,0,33.65,West,Website,Completed
ORD-000710,2024-01-02,CUST-01224,Cotton T-Shirt,Clothing,1,21.85,0,21.85,South,Mobile App,Completed
ORD-001819,2024-01-02,CUST-00316,Kitchen Scale,Home & Kitchen,1,35.11,0,35.11,West,Mobile App,Completed
ORD-000005,2024-01-02,CUST-02063,Lip Balm Set,Beauty,1,14.35,0,14.35,International,Mobile App,Completed
ORD-002008,2024-01-02,CUST-01772,Denim Jeans,Clothing,2,50.08,5,95.15,Midwest,Website,Completed
ORD-003340,2024-01-02,CUST-02045,Throw Blanket,Home & Kitchen,1,40.35,25,30.26,South,Email,Completed
ORD-002313,2024-01-02,CUST-01025,Sheet Mask Pack,Beauty,1,11.5,10,10.35,Midwest,Social Media,Completed
ORD-000450,2024-01-02,CUST-01335,Baseball Cap,Clothing,2,20.59,20,32.94,East,Email,Cancelled
ORD-002475,2024-01-02,CUST-00828,Sunscreen SPF 50,Beauty,3,17.74,0,53.22,West,Email,Cancelled
ORD-000056,2024-01-03,CUST-01665,Winter Jacket,Clothing,1,105.5,0,105.5,South,Mobile App,Completed
ORD-000910,2024-01-03,CUST-01786,Denim Jeans,Clothing,2,50.01,25,75.02,South,Social Media,Refunded
ORD-000448,2024-01-03,CUST-00506,Phone Case,Electronics,1,20.51,0,20.51,South,Mobile App,Refunded
ORD-001637,2024-01-03,CUST-00265,Winter Jacket,Clothing,1,114.48,0,114.48,South,Email,Completed
ORD-002567,2024-01-03,CUST-00184,Wireless Earbuds,Electronics,1,68.89,0,68.89,East,Website,Cancelled
ORD-002542,2024-01-03,CUST-02028,Plant Pot,Home & Kitchen,1,16.42,0,16.42,South,Social Media,Completed
ORD-001594,2024-01-03,CUST-01868,Plant Pot,Home & Kitchen,1,17.52,0,17.52,South,Mobile App,Completed
ORD-001409,2024-01-03,CUST-01529,Winter Jacket,Clothing,1,108.31,0,108.31,International,Mobile App,Cancelled
ORD-002502,2024-01-03,CUST-01465,Lip Balm Set,Beauty,2,8.64,10,15.55,Midwest,Mobile App,Refunded
ORD-002292,2024-01-03,CUST-01096,Running Shoes,Clothing,1,68.86,5,65.42,South,Website,Completed
ORD-001560,2024-01-03,CUST-00108,Phone Case,Electronics,2,23.06,0,46.12,Midwest,Email,Cancelled
ORD-003135,2024-01-03,CUST-02029,Scented Candle,Home & Kitchen,2,20.4,0,40.8,West,Website,Cancelled
ORD-002907,2024-01-03,CUST-00844,Wireless Earbuds,Electronics,1,63.13,0,63.13,East,Website,Completed
ORD-000687,2024-01-03,CUST-00406,Coffee Mug Set,Home & Kitchen,1,15.76,0,15.76,Midwest,Social Media,Completed
ORD-001802,2024-01-03,CUST-01389,Wireless Earbuds,Electronics,2,64.36,0,128.72,East,Website,Completed
ORD-000686,2024-01-03,CUST-00576,Portable Charger,Electronics,1,44.46,0,44.46,West,Mobile App,Refunded
ORD-001559,2024-01-03,CUST-01518,Scented Candle,Home & Kitchen,1,13.89,0,13.89,South,Social Media,Completed
ORD-002815,2024-01-04,CUST-02092,Wireless Earbuds,Electronics,1,49.94,20,39.95,South,Marketplace,Cancelled
ORD-000974,2024-01-04,CUST-01025,Phone Case,Electronics,2,25.35,0,50.7,East,Social Media,Completed
ORD-001165,2024-01-04,CUST-01955,Kitchen Scale,Home & Kitchen,2,24.68,15,41.96,West,Website,Completed
ORD-003415,2024-01-04,CUST-00449,Plant Pot,Home & Kitchen,2,15.02,0,30.04,West,Mobile App,Completed
ORD-000220,2024-01-04,CUST-00837,Throw Blanket,Home & Kitchen,2,43.5,10,78.3,South,Website,Completed
ORD-001975,2024-01-04,CUST-00394,USB-C Cable,Electronics,1,14.56,10,13.1,East,Mobile App,Refunded
ORD-001677,2024-01-04,CUST-00128,Winter Jacket,Clothing,1,107.06,10,96.35,South,Website,Completed
ORD-002447,2024-01-04,CUST-00616,Bluetooth Speaker,Electronics,1,66.06,0,66.06,West,Website,Completed
ORD-002630,2024-01-04,CUST-00533,Wireless Earbuds,Electronics,2,68.77,0,137.54,West,Social Media,Refunded
ORD-000434,2024-01-04,CUST-01955,Denim Jeans,Clothing,1,78.31,0,78.31,West,Email,Completed
ORD-003269,2024-01-04,CUST-01479,Running Shoes,Clothing,1,103.66,0,103.66,International,Website,Completed
ORD-003229,2024-01-04,CUST-00572,Plant Pot,Home & Kitchen,1,19.88,0,19.88,West,Website,Cancelled
ORD-000044,2024-01-04,CUST-00870,Wireless Earbuds,Electronics,1,81.67,0,81.67,East,Mobile App,Completed
ORD-000475,2024-01-04,CUST-01425,Hair Oil,Beauty,3,20.65,0,61.95,West,Mobile App,Cancelled
ORD-000139,2024-01-04,CUST-00944,Plant Pot,Home & Kitchen,3,15.88,0,47.64,East,Website,Completed
ORD-001886,2024-01-04,CUST-01465,Sheet Mask Pack,Beauty,1,10.35,0,10.35,South,Mobile App,Completed
ORD-001887,2024-01-04,CUST-00837,Face Moisturizer,Beauty,1,18.4,0,18.4,South,Website,Completed
ORD-002552,2024-01-05,CUST-01745,Lip Balm Set,Beauty,1,10.49,0,10.49,Midwest,Mobile App,Refunded
ORD-003242,2024-01-05,CUST-00561,Kitchen Scale,Home & Kitchen,1,23.94,0,23.94,Midwest,Mobile App,Completed
ORD-003195,2024-01-05,CUST-00159,Face Moisturizer,Beauty,2,32.28,0,64.56,South,Email,Completed
ORD-001336,2024-01-05,CUST-00706,Wireless Earbuds,Electronics,3,91.67,0,275.01,West,Social Media,Completed
ORD-000366,2024-01-05,CUST-00298,USB-C Cable,Electronics,1,9.88,15,8.4,Midwest,Social Media,Refunded
ORD-001847,2024-01-05,CUST-00409,Sheet Mask Pack,Beauty,1,11.2,0,11.2,South,Social Media,Completed
ORD-001190,2024-01-05,CUST-00351,Wireless Earbuds,Electronics,2,69.2,0,138.4,West,Email,Cancelled
ORD-000541,2024-01-05,CUST-01716,Wireless Earbuds,Electronics,1,73.98,15,62.88,South,Website,Completed
ORD-000615,2024-01-05,CUST-00972,Winter Jacket,Clothing,1,136.95,0,136.95,West,Website,Refunded
ORD-002380,2024-01-05,CUST-01574,Winter Jacket,Clothing,2,101.03,0,202.06,East,Mobile App,Refunded
ORD-001738,2024-01-05,CUST-00716,USB-C Cable,Electronics,1,16.36,0,16.36,West,Social Media,Cancelled
ORD-002001,2024-01-06,CUST-00600,Baseball Cap,Clothing,1,29.24,20,23.39,International,Social Media,Completed
ORD-002488,2024-01-06,CUST-00676,Wireless Earbuds,Electronics,1,87.53,0,87.53,West,Email,Cancelled
ORD-000103,2024-01-06,CUST-00649,Sheet Mask Pack,Beauty,1,15.42,10,13.88,West,Social Media,Completed
ORD-002076,2024-01-06,CUST-00228,Winter Jacket,Clothing,1,128.94,0,128.94,East,Website,Completed
ORD-003247,2024-01-06,CUST-00822,Sheet Mask Pack,Beauty,1,16.86,10,15.17,East,Mobile App,Completed
ORD-000915,2024-01-06,CUST-00325,Running Shoes,Clothing,2,98.91,0,197.82,West,Website,Completed
ORD-001382,2024-01-06,CUST-01222,Baseball Cap,Clothing,1,14.08,0,14.08,East,Mobile App,Completed
ORD-001764,2024-01-06,CUST-00533,USB-C Cable,Electronics,1,12.1,0,12.1,East,Mobile App,Completed
ORD-000923,2024-01-06,CUST-01782,Phone Case,Electronics,1,21.82,0,21.82,Midwest,Email,Cancelled
ORD-003360,2024-01-06,CUST-01044,Throw Blanket,Home & Kitchen,1,49.66,0,49.66,East,Website,Completed
ORD-001350,2024-01-06,CUST-00117,Plant Pot,Home & Kitchen,2,11.01,0,22.02,Midwest,Mobile App,Refunded
ORD-001372,2024-01-06,CUST-01773,Cotton T-Shirt,Clothing,1,18.71,5,17.77,South,Mobile App,Completed
ORD-001021,2024-01-06,CUST-01955,Baseball Cap,Clothing,1,17.48,0,17.48,East,Website,Cancelled
ORD-003266,2024-01-06,CUST-00330,Baseball Cap,Clothing,1,20.51,0,20.51,East,Mobile App,Completed
ORD-002501,2024-01-06,CUST-01614,USB-C Cable,Electronics,1,10.38,0,10.38,West,Website,Completed
ORD-003482,2024-01-06,CUST-01484,USB-C Cable,Electronics,2,13.71,10,24.68,South,Marketplace,Completed
ORD-002264,2024-01-06,CUST-01585,Baseball Cap,Clothing,1,17.78,0,17.78,International,Email,Completed
ORD-000034,2024-01-06,CUST-01090,Coffee Mug Set,Home & Kitchen,1,18.78,25,14.08,Midwest,Website,Cancelled
ORD-002154,2024-01-06,CUST-01419,Face Moisturizer,Beauty,1,35.56,0,35.56,West,Mobile App,Refunded
ORD-000672,2024-01-06,CUST-01988,USB-C Cable,Electronics,1,11.4,0,11.4,East,Marketplace,Cancelled
ORD-000717,2024-01-06,CUST-00365,Phone Case,Electronics,1,14.33,0,14.33,South,Website,Completed
ORD-003167,2024-01-06,CUST-01740,Face Moisturizer,Beauty,1,24.8,0,24.8,East,Website,Refunded
ORD-001500,2024-01-06,CUST-00848,Baseball Cap,Clothing,1,21.11,10,19.0,East,Website,Cancelled
ORD-000416,2024-01-06,CUST-00615,Sunscreen SPF 50,Beauty,1,19.36,0,19.36,South,Website,Refunded
ORD-003028,2024-01-06,CUST-01983,Throw Blanket,Home & Kitchen,1,35.04,10,31.54,East,Social Media,Completed
ORD-002613,2024-01-06,CUST-00588,Baseball Cap,Clothing,1,21.83,0,21.83,East,Mobile App,Completed
ORD-000607,2024-01-06,CUST-02015,Coffee Mug Set,Home & Kitchen,1,27.61,0,27.61,West,Website,Completed
ORD-000642,2024-01-06,CUST-01867,Scented Candle,Home & Kitchen,1,11.27,15,9.58,East,Email,Completed
ORD-000625,2024-01-06,CUST-00848,Cotton T-Shirt,Clothing,1,22.97,0,22.97,West,Mobile App,Completed
ORD-000410,2024-01-06,CUST-01635,Scented Candle,Home & Kitchen,1,18.32,0,18.32,East,Social Media,Completed
ORD-002259,2024-01-06,CUST-00140,Wireless Earbuds,Electronics,1,84.41,0,84.41,West,Email,Completed
ORD-002717,2024-01-07,CUST-01592,Lip Balm Set,Beauty,1,9.49,10,8.54,West,Social Media,Completed
ORD-000617,2024-01-07,CUST-01578,Denim Jeans,Clothing,2,47.0,0,94.0,West,Marketplace,Completed
ORD-002506,2024-01-07,CUST-00296,Scented Candle,Home & Kitchen,1,20.45,0,20.45,West,Social Media,Completed
ORD-003398,2024-01-07,CUST-01576,Scented Candle,Home & Kitchen,1,17.93,0,17.93,South,Social Media,Completed
ORD-002863,2024-01-07,CUST-01198,Running Shoes,Clothing,1,75.44,0,75.44,Midwest,Social Media,Cancelled
ORD-002427,2024-01-07,CUST-01944,Wireless Earbuds,Electronics,2,67.6,0,135.2,West,Email,Cancelled
ORD-003139,2024-01-07,CUST-01906,Hair Oil,Beauty,1,17.58,0,17.58,East,Social Media,Refunded
ORD-003445,2024-01-07,CUST-00519,Cotton T-Shirt,Clothing,3,23.86,0,71.58,East,Website,Refunded
ORD-001574,2024-01-07,CUST-00340,Coffee Mug Set,Home & Kitchen,2,28.49,0,56.98,West,Social Media,Completed
ORD-002794,2024-01-07,CUST-00157,Kitchen Scale,Home & Kitchen,1,32.48,20,25.98,West,Website,Completed
ORD-003237,2024-01-07,CUST-01781,Face Moisturizer,Beauty,1,27.3,25,20.48,West,Mobile App,Completed
ORD-001735,2024-01-07,CUST-00500,Baseball Cap,Clothing,1,17.16,0,17.16,East,Website,Completed
ORD-003286,2024-01-07,CUST-01428,Sunscreen SPF 50,Beauty,1,19.77,0,19.77,West,Mobile App,Refunded
ORD-000108,2024-01-07,CUST-01465,Plant Pot,Home & Kitchen,3,17.29,25,38.9,South,Marketplace,Completed
ORD-003180,2024-01-07,CUST-01716,Scented Candle,Home & Kitchen,2,14.27,0,28.54,Midwest,Social Media,Completed
ORD-001287,2024-01-08,CUST-01151,Face Moisturizer,Beauty,1,32.29,0,32.29,East,Social Media,Completed
ORD-000345,2024-01-08,CUST-00495,Winter Jacket,Clothing,1,118.22,0,118.22,South,Website,Cancelled
ORD-000610,2024-01-08,CUST-00325,Sunscreen SPF 50,Beauty,1,19.44,10,17.5,South,Mobile App,Completed
ORD-001032,2024-01-08,CUST-00968,Throw Blanket,Home & Kitchen,1,54.73,0,54.73,West,Social Media,Completed
ORD-001331,2024-01-08,CUST-01997,Scented Candle,Home & Kitchen,1,19.98,0,19.98,West,Website,Completed
ORD-001126,2024-01-08,CUST-01153,Phone Case,Electronics,1,21.35,0,21.35,East,Marketplace,Cancelled
ORD-001309,2024-01-08,CUST-01138,Face Moisturizer,Beauty,1,22.55,0,22.55,West,Website,Completed
ORD-002776,2024-01-08,CUST-00396,Sunscreen SPF 50,Beauty,1,14.84,0,14.84,South,Website,Completed
ORD-002818,2024-01-08,CUST-01368,Scented Candle,Home & Kitchen,1,14.21,0,14.21,South,Social Media,Completed
ORD-002231,2024-01-08,CUST-00499,Plant Pot,Home & Kitchen,1,23.02,0,23.02,East,Website,Refunded
ORD-002147,2024-01-08,CUST-00595,Cotton T-Shirt,Clothing,1,21.06,10,18.95,East,Mobile App,Completed
ORD-001080,2024-01-08,CUST-01425,Phone Case,Electronics,1,15.48,0,15.48,South,Website,Cancelled
ORD-002524,2024-01-08,CUST-00713,Portable Charger,Electronics,2,26.65,0,53.3,South,Website,Completed
ORD-003136,2024-01-08,CUST-01553,Scented Candle,Home & Kitchen,2,15.19,0,30.38,West,Mobile App,Cancelled
ORD-001368,2024-01-08,CUST-00640,Coffee Mug Set,Home & Kitchen,1,21.81,0,21.81,South,Mobile App,Completed
ORD-002526,2024-01-08,CUST-01955,Sunscreen SPF 50,Beauty,1,16.02,0,16.02,East,Marketplace,Completed
ORD-002635,2024-01-08,CUST-00797,Bluetooth Speaker,Electronics,1,37.76,0,37.76,East,Social Media,Completed
ORD-002054,2024-01-08,CUST-01741,Portable Charger,Electronics,2,36.67,0,73.34,East,Website,Completed
ORD-000076,2024-01-08,CUST-01663,Face Moisturizer,Beauty,1,31.14,20,24.91,South,Website,Completed
ORD-000113,2024-01-08,CUST-01294,Denim Jeans,Clothing,2,52.87,10,95.17,West,Social Media,Completed
ORD-000971,2024-01-09,CUST-01716,Lip Balm Set,Beauty,1,8.96,5,8.51,East,Website,Refunded
ORD-003346,2024-01-09,CUST-01361,Throw Blanket,Home & Kitchen,2,31.2,25,46.8,South,Email,Cancelled
ORD-002813,2024-01-09,CUST-00905,Scented Candle,Home & Kitchen,1,11.71,10,10.54,Midwest,Mobile App,Completed
ORD-003332,2024-01-09,CUST-01403,Bluetooth Speaker,Electronics,1,46.1,0,46.1,West,Mobile App,Refunded
ORD-000679,2024-01-09,CUST-01035,Portable Charger,Electronics,2,27.04,0,54.08,East,Website,Completed
ORD-000659,2024-01-09,CUST-01479,Bluetooth Speaker,Electronics,1,46.81,0,46.81,South,Mobile App,Refunded
ORD-000950,2024-01-09,CUST-00184,Phone Case,Electronics,1,21.86,0,21.86,East,Mobile App,Refunded
ORD-003484,2024-01-09,CUST-01420,Coffee Mug Set,Home & Kitchen,2,25.25,20,40.4,West,Website,Completed
ORD-003406,2024-01-09,CUST-00582,Coffee Mug Set,Home & Kitchen,2,16.36,10,29.45,East,Marketplace,Completed
ORD-001262,2024-01-09,CUST-00807,USB-C Cable,Electronics,1,17.09,15,14.53,West,Mobile App,Refunded
ORD-000446,2024-01-09,CUST-01701,Face Moisturizer,Beauty,1,42.5,0,42.5,International,Website,Completed
ORD-001644,2024-01-09,CUST-00467,Plant Pot,Home & Kitchen,1,19.96,5,18.96,West,Social Media,Completed
ORD-000521,2024-01-09,CUST-00884,Running Shoes,Clothing,1,60.07,15,51.06,Midwest,Mobile App,Refunded
ORD-000580,2024-01-10,CUST-01264,Sheet Mask Pack,Beauty,1,18.08,0,18.08,East,Email,Cancelled
ORD-002031,2024-01-10,CUST-01665,Plant Pot,Home & Kitchen,2,20.99,25,31.48,South,Mobile App,Completed
ORD-002946,2024-01-10,CUST-01172,Phone Case,Electronics,1,16.38,0,16.38,West,Website,Completed
ORD-001464,2024-01-10,CUST-01102,Portable Charger,Electronics,1,35.64,0,35.64,West,Mobile App,Cancelled
ORD-002286,2024-01-10,CUST-00216,Sunscreen SPF 50,Beauty,2,21.79,0,43.58,West,Mobile App,Refunded
ORD-002241,2024-01-10,CUST-01315,Scented Candle,Home & Kitchen,1,13.07,0,13.07,East,Email,Completed
ORD-002521,2024-01-10,CUST-01913,Face Moisturizer,Beauty,1,29.11,25,21.83,East,Mobile App,Cancelled
ORD-002187,2024-01-10,CUST-00112,Running Shoes,Clothing,1,78.12,0,78.12,East,Website,Completed
ORD-003432,2024-01-10,CUST-00309,Cotton T-Shirt,Clothing,2,30.16,10,54.29,West,Website,Refunded
ORD-003290,2024-01-10,CUST-00130,Plant Pot,Home & Kitchen,1,16.26,0,16.26,East,Email,Completed
ORD-000390,2024-01-10,CUST-00479,Cotton T-Shirt,Clothing,1,20.44,0,20.44,East,Email,Completed
ORD-000077,2024-01-10,CUST-01012,Cotton T-Shirt,Clothing,2,29.93,0,59.86,International,Website,Completed
ORD-001178,2024-01-10,CUST-01733,Sunscreen SPF 50,Beauty,2,17.98,0,35.96,East,Social Media,Completed
ORD-002171,2024-01-10,CUST-00903,Denim Jeans,Clothing,2,54.85,0,109.7,Midwest,Website,Completed
ORD-003049,2024-01-10,CUST-00967,Scented Candle,Home & Kitchen,1,10.01,0,10.01,South,Website,Completed
ORD-001936,2024-01-10,CUST-01441,Running Shoes,Clothing,1,68.07,0,68.07,East,Email,Completed
ORD-002721,2024-01-10,CUST-00499,Running Shoes,Clothing,1,84.95,0,84.95,East,Website,Refunded
ORD-001628,2024-01-10,CUST-00533,Plant Pot,Home & Kitchen,2,14.9,10,26.82,East,Email,Completed
ORD-000388,2024-01-10,CUST-01219,Lip Balm Set,Beauty,3,9.58,0,28.74,South,Social Media,Completed
ORD-003436,2024-01-10,CUST-00860,Baseball Cap,Clothing,2,17.39,0,34.78,East,Website,Completed
ORD-000856,2024-01-10,CUST-01863,Bluetooth Speaker,Electronics,2,45.19,15,76.82,South,Marketplace,Cancelled
ORD-001338,2024-01-10,CUST-01425,Cotton T-Shirt,Clothing,1,16.76,0,16.76,South,Website,Completed
ORD-002641,2024-01-11,CUST-01386,Hair Oil,Beauty,1,15.74,0,15.74,West,Mobile App,Completed
ORD-000268,2024-01-11,CUST-01945,Winter Jacket,Clothing,1,112.9,0,112.9,Midwest,Marketplace,Completed
ORD-003009,2024-01-11,CUST-01761,Coffee Mug Set,Home & Kitchen,3,15.65,0,46.95,Midwest,Mobile App,Completed
ORD-001948,2024-01-11,CUST-00428,USB-C Cable,Electronics,1,13.43,0,13.43,South,Website,Refunded
ORD-003015,2024-01-11,CUST-00011,Winter Jacket,Clothing,1,147.43,0,147.43,West,Website,Completed
ORD-002265,2024-01-11,CUST-01818,Lip Balm Set,Beauty,1,8.94,25,6.7,South,Social Media,Cancelled
ORD-003021,2024-01-11,CUST-00248,Coffee Mug Set,Home & Kitchen,2,25.74,0,51.48,East,Mobile App,Completed
ORD-000343,2024-01-11,CUST-00532,Scented Candle,Home & Kitchen,1,12.42,0,12.42,West,Mobile App,Refunded
ORD-001941,2024-01-11,CUST-02089,Portable Charger,Electronics,1,30.01,0,30.01,East,Marketplace,Refunded
ORD-002879,2024-01-11,CUST-00248,USB-C Cable,Electronics,1,14.35,25,10.76,East,Website,Cancelled
ORD-001305,2024-01-11,CUST-00052,Lip Balm Set,Beauty,1,8.96,0,8.96,East,Email,Refunded
ORD-002583,2024-01-11,CUST-01813,USB-C Cable,Electronics,1,16.09,0,16.09,International,Mobile App,Completed
ORD-003475,2024-01-11,CUST-00661,Portable Charger,Electronics,3,31.11,15,79.33,West,Website,Completed
ORD-001872,2024-01-11,CUST-01816,Phone Case,Electronics,1,30.45,10,27.41,East,Email,Completed
ORD-003074,2024-01-11,CUST-00775,Coffee Mug Set,Home & Kitchen,1,28.72,0,28.72,West,Marketplace,Cancelled
ORD-003192,2024-01-11,CUST-00961,Throw Blanket,Home & Kitchen,2,44.73,0,89.46,East,Mobile App,Completed
ORD-003329,2024-01-11,CUST-00065,Coffee Mug Set,Home & Kitchen,1,20.71,0,20.71,Midwest,Marketplace,Completed
ORD-000198,2024-01-11,CUST-00532,Throw Blanket,Home & Kitchen,1,52.62,10,47.36,West,Mobile App,Cancelled
ORD-000956,2024-01-11,CUST-00532,Baseball Cap,Clothing,1,25.75,0,25.75,West,Social Media,Refunded
ORD-003144,2024-01-11,CUST-00528,Bluetooth Speaker,Electronics,1,41.27,20,33.02,Midwest,Email,Completed
ORD-002428,2024-01-11,CUST-00439,Hair Oil,Beauty,2,20.45,0,40.9,West,Mobile App,Cancelled
ORD-002663,2024-01-11,CUST-01465,Kitchen Scale,Home & Kitchen,1,20.82,0,20.82,South,Website,Completed
ORD-001230,2024-01-11,CUST-01665,Kitchen Scale,Home & Kitchen,1,27.89,0,27.89,Midwest,Email,Completed
ORD-001202,2024-01-11,CUST-01617,Coffee Mug Set,Home & Kitchen,1,16.79,0,16.79,East,Social Media,Refunded
ORD-001786,2024-01-11,CUST-00041,Coffee Mug Set,Home & Kitchen,1,21.78,0,21.78,East,Email,Completed
ORD-000564,2024-01-11,CUST-00706,Face Moisturizer,Beauty,1,35.77,0,35.77,East,Social Media,Completed
ORD-001191,2024-01-11,CUST-01670,Portable Charger,Electronics,1,33.45,0,33.45,International,Social Media,Cancelled
ORD-000834,2024-01-11,CUST-01349,Coffee Mug Set,Home & Kitchen,3,25.99,10,70.17,West,Website,Completed
ORD-002687,2024-01-11,CUST-00532,Portable Charger,Electronics,1,29.59,0,29.59,South,Website,Completed
ORD-002227,2024-01-11,CUST-01435,Phone Case,Electronics,1,19.29,20,15.43,South,Website,Completed
ORD-002527,2024-01-12,CUST-01151,Sheet Mask Pack,Beauty,1,15.39,0,15.39,West,Social Media,Refunded
ORD-000064,2024-01-12,CUST-00821,Face Moisturizer,Beauty,1,26.44,10,23.8,West,Website,Completed
ORD-000303,2024-01-12,CUST-00775,Kitchen Scale,Home & Kitchen,1,36.45,5,34.63,East,Social Media,Completed
ORD-002127,2024-01-12,CUST-00532,Wireless Earbuds,Electronics,1,68.0,5,64.6,Midwest,Website,Cancelled
ORD-001478,2024-01-12,CUST-00764,Plant Pot,Home & Kitchen,1,17.17,25,12.88,West,Website,Refunded
ORD-003194,2024-01-12,CUST-01890,Sheet Mask Pack,Beauty,1,14.61,10,13.15,Midwest,Mobile App,Completed
ORD-001016,2024-01-12,CUST-01075,Running Shoes,Clothing,3,61.84,25,139.14,South,Website,Refunded
ORD-000579,2024-01-12,CUST-00176,Sunscreen SPF 50,Beauty,1,18.79,0,18.79,East,Mobile App,Completed
ORD-002175,2024-01-12,CUST-02057,Coffee Mug Set,Home & Kitchen,2,16.2,15,27.54,South,Website,Refunded
ORD-002039,2024-01-12,CUST-00532,Cotton T-Shirt,Clothing,1,19.64,0,19.64,International,Mobile App,Completed
ORD-003113,2024-01-12,CUST-01377,Denim Jeans,Clothing,1,57.34,10,51.61,International,Marketplace,Completed
ORD-002162,2024-01-12,CUST-01864,Throw Blanket,Home & Kitchen,1,35.13,0,35.13,South,Social Media,Completed
ORD-003107,2024-01-12,CUST-01000,Kitchen Scale,Home & Kitchen,1,31.84,0,31.84,East,Mobile App,Cancelled
ORD-001865,2024-01-12,CUST-01728,Plant Pot,Home & Kitchen,1,15.82,0,15.82,International,Mobile App,Completed
ORD-001931,2024-01-12,CUST-00848,Scented Candle,Home & Kitchen,2,12.48,0,24.96,South,Website,Completed
ORD-001679,2024-01-12,CUST-01306,Wireless Earbuds,Electronics,1,88.03,0,88.03,West,Website,Refunded
ORD-002219,2024-01-12,CUST-01190,Face Moisturizer,Beauty,1,34.83,0,34.83,West,Mobile App,Completed
ORD-000185,2024-01-12,CUST-00142,Running Shoes,Clothing,1,75.48,10,67.93,Midwest,Website,Completed
ORD-001520,2024-01-12,CUST-01687,Kitchen Scale,Home & Kitchen,1,25.85,0,25.85,South,Mobile App,Completed
ORD-003441,2024-01-13,CUST-01533,Sheet Mask Pack,Beauty,2,15.49,10,27.88,International,Website,Completed
ORD-000719,2024-01-13,CUST-01585,Wireless Earbuds,Electronics,1,46.3,15,39.36,Midwest,Mobile App,Completed
ORD-000216,2024-01-13,CUST-01457,Phone Case,Electronics,1,28.31,0,28.31,South,Email,Completed
